Field=Comment~String~Comment~100|Field=Description~String~Description~100|Field=Designator~String~Designator~100|Field=Footprint~String~Footprint~100|Field=LibRef~String~LibRef~100|Field=Quantity~Integer~Quantity~100|ReportField=Currency~<none>|ReportField=ProductionQuantity~1|ReportField=ProjectFileName~l1.PrjPcb|ReportField=ProjectFullPath~Z:\oncilla-hardware\electronics\magnetic-encoders\l1\l1.PrjPcb|ReportField=Title~l1_bom For Schematic Document [l1.SchDoc]|ReportField=TotalQuantity~10|ReportField=ReportTime~19:25:21|ReportField=ReportDate~18/03/2014|ReportField=ReportDateTime~18/03/2014 19:25:21|ReportField=OutputName~l1_bom|ReportField=OutputType~BOM_PartType|ReportField=GeneratorName~BOM|ReportField=GeneratorDescription~Bill of Materials|ReportField=VariantName~None|ReportField=Address1~|ReportField=Address2~|ReportField=Address3~|ReportField=Address4~|ReportField=ApprovedBy~|ReportField=Author~Rico Möckel|ReportField=CheckedBy~|ReportField=CompanyName~|ReportField=CurrentDate~18/03/2014|ReportField=CurrentTime~19:25:20|ReportField=Date~|ReportField=DocumentFullPathAndName~Z:\oncilla-hardware\electronics\magnetic-encoders\l1\l1.SchDoc|ReportField=DocumentName~l1.SchDoc|ReportField=DocumentNumber~1|ReportField=DrawnBy~|ReportField=Engineer~|ReportField=ImagePath~|ReportField=ModifiedDate~18/03/2014|ReportField=Organization~BioRob / EPFL|ReportField=ProjectName~l1.PrjPcb|ReportField=Revision~2|ReportField=Rule~|ReportField=SheetNumber~1|ReportField=SheetTotal~1|ReportField=Time~|ReportField=Title~Oncilla L1 (hip) magnetic encoder|ReportField=DataSourceFileName~l1.SchDoc|ReportField=DataSourceFullPath~Z:\oncilla-hardware\electronics\magnetic-encoders\l1\l1.SchDoc
10uF|Capacitor|C1|CAPC1608L|Cap|1
100nF|Capacitor|C11|CAPC1608L|Cap|1
1nF|Capacitor|C12|CAPC1608L|Cap|1
50mA, 1.5R|Ferrit Bead|F1, F2|RESC1608L|Fuse 1|2
100R|Resistor|R11|RESC1608L|Res1|1
xR|Resistor|R12|RESC1608L|Res1|1
AS5045|12 Bit Programmable Magnetic Rotary Encoder|U1|SSOP16|AS5045|1
SM08B-SURS|wire-to-board connector|X1, X2|SM08B-SURS|SM08B-SURS|2
